road_id,timestamp,surface_temperature,surface_humidity,precipitation_rate,crack_density,pothole_depth,roughness_index,wind_speed,solar_radiation,vehicle_count,heavy_vehicle_ratio,maintenance_frequency,maintenance_cost,location_lat,location_lon,terrain_type,extreme_weather_event,maintenance_required
R0001,2020-01-01 00:00:00,18.727005942368123,45.42719682496979,7.4728163693339695,14.990107311871604,10.949974664849556,0.9237083927589662,63.81445683721739,609.3926309870536,1720,25.98958776018261,2,6794.90381385589,32.026574747447356,-122.59520075907326,flat,0,1
R0002,2020-01-01 01:00:00,47.53571532049581,52.60920934375193,6.658241924628065,22.402403175377827,2.7676799339806735,0.6075372958802006,45.92924535341931,38.903467763097495,676,14.53515566978525,1,1360.987404824169,-18.55635806185505,161.6924547902682,flat,1,1
R0003,2020-01-01 02:00:00,36.59969709057025,86.90926538819623,3.523078250057201,16.880003419689995,5.199595415548293,6.04191950743664,96.44985248639408,612.2603408767345,1175,21.72100468407079,0,5036.261469026356,-65.45894988843801,170.94357891508594,hilly,0,1
R0004,2020-01-01 03:00:00,29.93292420985183,40.60039474539029,12.14533340202976,2.4990774933538917,9.949209552867273,9.661163224927549,21.89784509842382,89.66860676411625,1126,21.178507314179416,0,8358.724942847399,-38.02045049402005,137.33750455027553,mountainous,0,1
R0005,2020-01-01 04:00:00,7.800932022121826,88.26847163309542,9.532483210172577,5.567407103506662,7.231340167867199,5.02721308954724,58.78564159989407,710.3442385187473,176,4.082133511436576,0,7469.725850322457,-27.526115096741833,-94.11917220661714,flat,0,1
R0006,2020-01-01 05:00:00,7.799726016810133,17.932098787902234,17.314019846480072,6.579845520927574,11.078565579523406,0.5151522593930513,70.02100149902226,390.0776465809306,1770,1.468070956887787,3,9100.455903909064,-25.546235874337526,-79.74216506951568,hilly,0,1
R0007,2020-01-01 06:00:00,2.9041806084099733,79.91185934877677,0.6421916096411651,7.735927609345347,14.418118518342895,2.212186560774562,82.55644893453817,837.6964915685187,1961,25.19889520785075,1,2662.8444702101406,11.788130722917941,-33.48977308132575,hilly,0,1
R0008,2020-01-01 07:00:00,43.308807288746756,86.27928697492626,12.877358551102526,16.96210175851513,1.7482003157279624,2.447929064157707,40.697103042800705,942.5292452651306,681,14.709601135136523,0,9783.135559870547,-52.49109453376099,28.555821308883395,mountainous,0,1
R0009,2020-01-01 08:00:00,30.05575058716044,26.36358875536049,15.258977570231222,15.118973394761804,10.643515745970914,3.3785712913695,68.69219076574815,417.110341465609,1797,24.302565950297364,1,3208.237844763724,-55.86099676762498,177.18530744502436,hilly,0,1
R0010,2020-01-01 09:00:00,35.40362888980228,48.73118791349804,15.18973138376614,6.094801150926267,3.455162334481718,0.4360338358621263,30.320147138428275,460.5552954737462,707,8.91195742986645,2,976.7088371216621,39.05328634825335,164.20807685980287,mountainous,0,0
R0011,2020-01-01 10:00:00,1.0292247147901223,24.894979719729008,17.721479341910502,2.0266453036706125,6.217150911113539,9.048927004979163,43.547609236182026,590.1475810128502,1139,25.85495913847346,0,5208.8899583666325,-88.64990092250707,151.61006113118657,mountainous,0,1
R0012,2020-01-01 11:00:00,48.49549260809972,73.5943716094796,14.580674856589882,5.142966134241542,0.49294088692709737,5.155639447214952,89.56271312033992,197.13272185805053,329,24.924614546290492,4,1548.2180155263206,-63.086501625655075,-147.8605324271235,mountainous,1,1
R0013,2020-01-01 12:00:00,41.622132040021086,58.1812991255491,18.556201232953924,29.531439378558098,2.0386107343904842,6.70930792954109,94.99076093309543,927.3328408283613,1003,11.45014282982076,0,6972.453939591888,-11.707545193565153,92.57988428067438,hilly,0,1
R0014,2020-01-01 13:00:00,10.616955533913808,67.1791012037489,6.653131996417829,14.056408493744168,4.796659335733495,0.6717283689500897,71.88173469272647,432.99992650137267,1016,12.350941852086658,0,9055.284572116681,-63.16503009841895,135.66451008228887,hilly,0,0
R0015,2020-01-01 14:00:00,9.091248360355031,27.683827026059003,10.064188335030861,26.020365141063373,5.129787079319774,0.541154678036494,37.4351890776185,166.8203359160073,988,10.526771983544203,1,9252.761082275934,82.76625923740968,-60.01936936600809,mountainous,0,1
R0016,2020-01-01 15:00:00,9.17022549267169,29.057127584717758,0.2815932656578135,25.4625740000653,13.493778246931436,5.8646777204054725,82.00577899746641,762.731833418884,1390,1.0446771964216472,1,6266.853805521382,30.618711264301695,-100.95334768770928,hilly,0,1
R0017,2020-01-01 16:00:00,15.212112147976885,13.734759295891573,0.13915174606582426,15.34558672388621,11.127193638997726,8.87296010504208,2.5867081725420182,219.1513724439852,1429,20.629817736831885,3,5585.016273120462,-12.101487921985196,89.43893779927407,hilly,0,1
R0018,2020-01-01 17:00:00,26.237821581611893,38.98607816761567,4.802532409030398,21.200631253816304,14.582744522805616,5.28482000959547,10.274591053942107,143.52927507185498,1978,8.181976477634493,0,9942.918520450125,-69.79403738397671,-147.29840769905755,mountainous,0,1
R0019,2020-01-01 18:00:00,21.597250932105787,60.37701952003074,2.016143942781705,5.782560312381369,8.986072655028607,8.778191725700715,66.13737363753611,562.872075494007,1129,26.520412270875184,2,6004.544330365959,-20.666467772166953,158.7089527732178,mountainous,0,1
